SL. No,JOURNAL TITLE,SPECIMEN,SHAPE CODE,Boundary condition,Loading condition,Fy,Fu,E,ν,t,L,bw,bf1,bf2,bl1,bl2,q,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,Ultimate  Buckiling Strength (Mtest),Ultimate  Buckiling Strength (MFEM),Failure Mode,AISI,Eurocode 3,AS/NZS,y,y_from_fem,inconsistent_no_hole_metadata,inconsistent_sx_for_single_hole,geometry_signature,outlier_y_iqr
62,Oruç 1 2025,SQR_1_0.89_132_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,160,160,,4,90,212,292,,7.74,Local buckling,9.59,,,7.74,True,False,False,c1ffbf0419aeba93b2a1631704a242a9,False
64,Oruç 1 2025,REC_0.5_0.42_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,150,75,,1,90,725,,,11.49,Local buckling,11.51,,,11.49,True,False,False,1780b905cdc1eec8079000dbbc3afeb7,False
65,Oruç 1 2025,REC_0.25_0.42_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,300,75,,1,90,800,,,11.42,Local buckling,11.51,,,11.42,True,False,False,071d88582766ac2d457112edb3cdde2a,False
66,Oruç 1 2025,REC_0.125_0.42_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,600,75,,1,90,950,,,9.66,Local buckling,10.02,,,9.66,True,False,False,48b3d94525f179c545695c19f46f749a,False
67,Oruç 1 2025,REC_0.062_0.42_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,1200,75,,1,90,710,,,7.79,Local buckling,7.43,,,7.79,True,False,False,117924ca09cf62a6681f91b4510207d1,False
68,Oruç 1 2025,REC_1.6_0.67_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,75,120,,1,90,687.5,,,10.51,Local buckling,10.76,,,10.51,True,False,False,6fc1ff44f5b252a78b577420cb1f0ace,False
69,Oruç 1 2025,REC_0.8_0.67_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,150,120,,1,90,725,,,10.43,Local buckling,10.76,,,10.43,True,False,False,f77b6618f84609e2bf629e737aac2b81,False
70,Oruç 1 2025,REC_0.4_0.67_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,300,120,,1,90,800,,,10.21,Local buckling,10.76,,,10.21,True,False,False,386ed6bb1864da1fcc1b08a72bd44ee6,False
71,Oruç 1 2025,REC_0.2_0.67_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,600,120,,1,90,950,,,9.17,Local buckling,10.19,,,9.17,True,False,False,0218c422191c1e3a7aef83b2ef029cd9,False
72,Oruç 1 2025,REC_0.1_0.67_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,1200,120,,1,90,1250,,,5.93,Local buckling,6.94,,,5.93,True,False,False,1ebe50cc131866591957cfa58a388c84,False
73,Oruç 1 2025,REC_1.87_0.78_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,75,140,,1,90,687.5,,,9.39,Local buckling,10.14,,,9.39,True,False,False,d9ad08be03447d09e8ef1eae6b2559a3,False
74,Oruç 1 2025,REC_0.93_0.78_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,150,140,,1,90,725,,,9.22,Local buckling,10.14,,,9.22,True,False,False,00bde8bb63cc6e6f011903e60708633e,False
75,Oruç 1 2025,REC_0.47_0.78_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,300,140,,1,90,800,,,8.72,Local buckling,10.14,,,8.72,True,False,False,a161b1dae0da28ecbb1a272adb2086fd,False
76,Oruç 1 2025,REC_0.23_0.78_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,600,140,,1,90,950,,,7.54,Local buckling,8.66,,,7.54,True,False,False,1a68b5a3c8c5a6a524ae55396f745000,False
77,Oruç 1 2025,REC_0.12_0.78_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,1200,140,,1,90,1250,,,3.96,Local buckling,5.73,,,3.96,True,False,False,c03efe577fbf988e5497da6b10779188,False
78,Oruç 1 2025,REC_2.13_0.89_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,75,160,,1,90,687.5,,,8.03,Local buckling,9.59,,,8.03,True,False,False,ecb209c01e376ef6e3a1ac7da9a72987,False
79,Oruç 1 2025,REC_1.07_0.89_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,150,160,,1,90,725,,,7.49,Local buckling,9.59,,,7.49,True,False,False,57fb3328ce1f3977540dd191b0669664,False
80,Oruç 1 2025,REC_0.53_0.89_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,300,160,,1,90,800,,,6.46,Local buckling,9.2,,,6.46,True,False,False,135c827de4c0de62be3e2d0558a446b3,False
81,Oruç 1 2025,REC_0.27_0.89_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,600,160,,1,90,950,,,4.61,Local buckling,6.94,,,4.61,True,False,False,f97de7d3e6ff444bae1c134e1b3787c1,False
82,Oruç 1 2025,REC_0.13_0.89_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,rectangle,1200,160,,1,90,1250,,,2.39,Local buckling,4.91,,,2.39,True,False,False,532b8b6f6b363b33c311c43184b67480,False
83,Oruç 1 2025,NH_0.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,0.5,4470,180,64,64,28,28,,1.5,no_hole,,,,,,,,,2.25,Local buckling,2.15,,,2.25,True,False,False,f63a3a04049efe6046235302ff8fd69f,False
84,Oruç 1 2025,NH_1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1,4470,180,64,64,28,28,,3,no_hole,,,,,,,,,4.38,Local buckling,4.55,,,4.38,True,False,False,7f7fbff0c6260924b630d0682be43187,False
