SL. No,SPECIMEN,JOURNAL TITLE,geometry_signature,y,y_from_fem,replicate_count
204,H220r0.4d40t3.0,"Zhao et al., 2019",4271cdafa5ba1db0181ab710c191cfab,30.37,True,1
205,H220r0.6d40t3.0,"Zhao et al., 2019",88a7cc302d6e85a5621dffd9b7aa57b7,27.99,True,1
206,H220r0.8d40t3.0,"Zhao et al., 2019",51a5e602ebc4cd08f7534636df8c901e,25.09,True,1
207,800 S 200-33-100-1-1,Soroori Rad 2010,705e12c07b31bcec5bf70138f34ecb0c,5.45,False,1
208,800 S 200-33-100-1-2,Soroori Rad 2011,98c16b87c0ee225693e2fefcac3d6bb1,5.38,False,1
209,800 S 200-33-100-2-1,Soroori Rad 2011,cdbc88de922c87c44c3cc5d45867d1e7,5.64,False,1
210,800 S 200-33-100-2-2,Soroori Rad 2011,b84bf9f668a161f6462cc3c47a3c962e,5.44,False,1
211,800 S 200-33-95-2-1,Soroori Rad 2011,ff71c09048761bd2bda2c7d17cc422d8,5.46,False,1
212,800 S 200-33-95-2-2,Soroori Rad 2011,943ef4f81ca3be80110eb0b9f4882378,5.48,False,1
213,800 S 200-33-90-2-1,Soroori Rad 2011,44c4f0c71ab418c70da315653c6a003e,5.55,False,1
214,800 S 200-33-90-2-2,Soroori Rad 2011,c88048f5db1a149fdc990caf91a42937,5.44,False,1
215,800 S 200-33-85-2-1,Soroori Rad 2011,df313f4a920d3d87282d61929f24ea28,5.5,False,1
216,800 S 200-33-85-2-2,Soroori Rad 2011,d8be40bf71dcfac371e9cc84b7c3afe5,5.33,False,1
217,800 S 200-33-95-1-1,Soroori Rad 2011,bf8ba4c507baa910a415231ac28728cc,5.48,False,1
218,800 S 200-33-95-1-2,Soroori Rad 2011,2cd786de8a06a406233ddc2051bfadea,5.57,False,1
219,800 S 200-33-90-1-1,Soroori Rad 2011,bf2cba5a84a9e83270124285ae339f49,5.55,False,1
220,800 S 200-33-90-1-2,Soroori Rad 2011,86e7681b3f1ab6ffb4db02d7cf30c5fc,5.55,False,1
221,800 S 200-33-85-1-1,Soroori Rad 2011,6266082af92d23681997bdfdbe35056a,5.28,False,1
222,800 S 200-33-85-1-2,Soroori Rad 2011,91278314a5161f8f34615e9c4fbf7631,5.35,False,1
223,1000 S 162-54-100-1-1,Soroori Rad 2011,fc3803f38d15d18463826b1035c5b84c,11.11,False,1
224,1000 S 162-54-100-1-2,Soroori Rad 2011,27450b77d1c61b5740a3a365d0a22d10,11.04,False,1
225,1000 S 162-54-100-2-1,Soroori Rad 2011,89a95f49e2af093869d81a1445223ccb,10.5,False,1
226,1000 S 162-54-100-2-2,Soroori Rad 2011,39520a704eed7eecba32806c90a36574,10.6,False,1
227,1000 S 162-54-100-3-1,Soroori Rad 2011,545767d34ca08f7afc55e7eb53319c88,10.26,False,1
228,1000 S 162-54-100-3-2,Soroori Rad 2011,68e1ceefdbba1b1a8f7f836f61dbba7b,10.42,False,1
229,1000 S 162-54-95-1-1,Soroori Rad 2011,5110a5350cd217d443bae2a6cdecdc76,11.06,False,1
230,1000 S 162-54-95-1-2,Soroori Rad 2011,71fc1c7811cef118b1ed201ba9d1d380,11.08,False,1
231,1000 S 162-54-95-2-1,Soroori Rad 2011,6f37abe3f2fff792efc589e6a88d6692,10.93,False,1
232,1000 S 162-54-95-2-2,Soroori Rad 2011,b5dd7d97af161f3122b1be8da75999a5,10.88,False,1
233,1000 S 162-54-95-3-1,Soroori Rad 2011,b4ecdaf1eaf2d0b2580114e6f7bb038f,10.59,False,1
234,1000 S 162-54-95-3-2,Soroori Rad 2011,40a5921c555160dec5da97762e1a4d0b,11.12,False,1
235,1000 S 162-54-90-1-1,Soroori Rad 2011,eb99189e9461693b025b93d7019082f6,10.56,False,1
236,1000 S 162-54-90-1-2,Soroori Rad 2011,958c9b4f9cc40a32d6bd6dbb1efb273b,10.56,False,1
237,1000 S 162-54-90-2-1,Soroori Rad 2011,4781086a2f3bc6d8fba4e93657dba767,10.62,False,1
238,1000 S 162-54-90-2-2,Soroori Rad 2011,388d27609078f2e6a61a32afa4a88b9f,10.67,False,1
239,1000 S 162-54-90-3-1,Soroori Rad 2011,3e954ebf12f00f0690f6916660bc0880,11.1,False,1
240,1000 S 162-54-90-3-2,Soroori Rad 2011,14cb077c20ebef262e60e60fcac4631e,10.97,False,1
241,1000 S 162-54-85-1-1,Soroori Rad 2011,bb08ace2a046fd3229652b122d850398,10.6,False,1
242,1000 S 162-54-85-1-2,Soroori Rad 2011,0df553b8145b9bde74c1ff50ecb6e244,11.38,False,1
243,1000 S 162-54-85-2-1,Soroori Rad 2011,99734043a99cd35c482f7849eecdad3f,10.61,False,1
244,1000 S 162-54-85-2-2,Soroori Rad 2011,0315e1329c5d13bb9e8d31b8ef168318,10.61,False,1
245,1000 S 162-54-85-3-1,Soroori Rad 2011,c1a8f6ba59050b40b37bf66a4e085f9b,10.78,False,1
246,1000 S 162-54-85-3-2,Soroori Rad 2011,22528ced53ba9d0eaf9d95130c60f54f,10.84,False,1
